Timestamp,Household_ID,Room,Appliance,Usage_KWh
2025-03-01 00:00:00,H001,Living Room,AC,0.448
2025-03-01 00:00:00,H001,Kitchen,Refrigerator,0.207
2025-03-01 00:00:00,H001,Living Room,TV,0.049
2025-03-01 00:00:00,H001,Bedroom,Lights,0.243
2025-03-01 00:00:00,H001,Bedroom,Fan,0.194
2025-03-01 00:00:00,H001,Utility Room,Washing Machine,0.0
2025-03-01 00:00:00,H001,Kitchen,Microwave,0.0
2025-03-01 01:00:00,H001,Living Room,AC,0.312
2025-03-01 01:00:00,H001,Kitchen,Refrigerator,0.346
2025-03-01 01:00:00,H001,Living Room,TV,0.109
2025-03-01 01:00:00,H001,Bedroom,Lights,0.218
2025-03-01 01:00:00,H001,Bedroom,Fan,0.128
2025-03-01 01:00:00,H001,Utility Room,Washing Machine,0.0
2025-03-01 01:00:00,H001,Kitchen,Microwave,0.0
2025-03-01 02:00:00,H001,Living Room,AC,0.272
2025-03-01 02:00:00,H001,Kitchen,Refrigerator,0.296
2025-03-01 02:00:00,H001,Living Room,TV,0.077
2025-03-01 02:00:00,H001,Bedroom,Lights,0.071
2025-03-01 02:00:00,H001,Bedroom,Fan,0.13
2025-03-01 02:00:00,H001,Utility Room,Washing Machine,0.0
2025-03-01 02:00:00,H001,Kitchen,Microwave,0.0
2025-03-01 03:00:00,H001,Living Room,AC,0.469
2025-03-01 03:00:00,H001,Kitchen,Refrigerator,0.186
2025-03-01 03:00:00,H001,Living Room,TV,0.043
2025-03-01 03:00:00,H001,Bedroom,Lights,0.236
2025-03-01 03:00:00,H001,Bedroom,Fan,0.156
2025-03-01 03:00:00,H001,Utility Room,Washing Machine,0.0
2025-03-01 03:00:00,H001,Kitchen,Microwave,0.0
2025-03-01 04:00:00,H001,Living Room,AC,0.417
2025-03-01 04:00:00,H001,Kitchen,Refrigerator,0.32
2025-03-01 04:00:00,H001,Living Room,TV,0.114
2025-03-01 04:00:00,H001,Bedroom,Lights,0.264
2025-03-01 04:00:00,H001,Bedroom,Fan,0.194
2025-03-01 04:00:00,H001,Utility Room,Washing Machine,0.0
2025-03-01 04:00:00,H001,Kitchen,Microwave,0.0
2025-03-01 05:00:00,H001,Living Room,AC,0.261
2025-03-01 05:00:00,H001,Kitchen,Refrigerator,0.222
2025-03-01 05:00:00,H001,Living Room,TV,0.05
2025-03-01 05:00:00,H001,Bedroom,Lights,0.153
2025-03-01 05:00:00,H001,Bedroom,Fan,0.176
2025-03-01 05:00:00,H001,Utility Room,Washing Machine,0.0
2025-03-01 05:00:00,H001,Kitchen,Microwave,0.0
2025-03-01 06:00:00,H001,Living Room,AC,0.146
2025-03-01 06:00:00,H001,Kitchen,Refrigerator,0.237
2025-03-01 06:00:00,H001,Living Room,TV,0.076
2025-03-01 06:00:00,H001,Bedroom,Lights,0.223
2025-03-01 06:00:00,H001,Bedroom,Fan,0.135
2025-03-01 06:00:00,H001,Utility Room,Washing Machine,0.0
2025-03-01 06:00:00,H001,Kitchen,Microwave,0.0
2025-03-01 07:00:00,H001,Living Room,AC,0.256
2025-03-01 07:00:00,H001,Kitchen,Refrigerator,0.235
2025-03-01 07:00:00,H001,Living Room,TV,0.136
2025-03-01 07:00:00,H001,Bedroom,Lights,0.048
2025-03-01 07:00:00,H001,Bedroom,Fan,0.15
2025-03-01 07:00:00,H001,Utility Room,Washing Machine,0.0
2025-03-01 07:00:00,H001,Kitchen,Microwave,0.699
2025-03-01 08:00:00,H001,Living Room,AC,0.158
2025-03-01 08:00:00,H001,Kitchen,Refrigerator,0.213
2025-03-01 08:00:00,H001,Living Room,TV,0.074
2025-03-01 08:00:00,H001,Bedroom,Lights,0.045
2025-03-01 08:00:00,H001,Bedroom,Fan,0.1
2025-03-01 08:00:00,H001,Utility Room,Washing Machine,0.683
2025-03-01 08:00:00,H001,Kitchen,Microwave,0.988
2025-03-01 09:00:00,H001,Living Room,AC,0.36
2025-03-01 09:00:00,H001,Kitchen,Refrigerator,0.273
2025-03-01 09:00:00,H001,Living Room,TV,0.036
2025-03-01 09:00:00,H001,Bedroom,Lights,0.043
2025-03-01 09:00:00,H001,Bedroom,Fan,0.171
2025-03-01 09:00:00,H001,Utility Room,Washing Machine,0.745
2025-03-01 09:00:00,H001,Kitchen,Microwave,0.0
2025-03-01 10:00:00,H001,Living Room,AC,1.054
2025-03-01 10:00:00,H001,Kitchen,Refrigerator,0.211
2025-03-01 10:00:00,H001,Living Room,TV,0.074
2025-03-01 10:00:00,H001,Bedroom,Lights,0.037
2025-03-01 10:00:00,H001,Bedroom,Fan,0.225
2025-03-01 10:00:00,H001,Utility Room,Washing Machine,0.0
2025-03-01 10:00:00,H001,Kitchen,Microwave,0.0
2025-03-01 11:00:00,H001,Living Room,AC,1.423
2025-03-01 11:00:00,H001,Kitchen,Refrigerator,0.284
2025-03-01 11:00:00,H001,Living Room,TV,0.096
2025-03-01 11:00:00,H001,Bedroom,Lights,0.035
2025-03-01 11:00:00,H001,Bedroom,Fan,0.185
2025-03-01 11:00:00,H001,Utility Room,Washing Machine,0.0
2025-03-01 11:00:00,H001,Kitchen,Microwave,0.0
2025-03-01 12:00:00,H001,Living Room,AC,2.153
2025-03-01 12:00:00,H001,Kitchen,Refrigerator,0.167
2025-03-01 12:00:00,H001,Living Room,TV,0.119
2025-03-01 12:00:00,H001,Bedroom,Lights,0.02
2025-03-01 12:00:00,H001,Bedroom,Fan,0.089
2025-03-01 12:00:00,H001,Utility Room,Washing Machine,0.0
2025-03-01 12:00:00,H001,Kitchen,Microwave,0.0
2025-03-01 13:00:00,H001,Living Room,AC,1.559
2025-03-01 13:00:00,H001,Kitchen,Refrigerator,0.169
2025-03-01 13:00:00,H001,Living Room,TV,0.135
2025-03-01 13:00:00,H001,Bedroom,Lights,0.035
2025-03-01 13:00:00,H001,Bedroom,Fan,0.195
2025-03-01 13:00:00,H001,Utility Room,Washing Machine,0.0
2025-03-01 13:00:00,H001,Kitchen,Microwave,0.213
2025-03-01 14:00:00,H001,Living Room,AC,1.608
2025-03-01 14:00:00,H001,Kitchen,Refrigerator,0.261
2025-03-01 14:00:00,H001,Living Room,TV,0.041
2025-03-01 14:00:00,H001,Bedroom,Lights,0.016
2025-03-01 14:00:00,H001,Bedroom,Fan,0.189
2025-03-01 14:00:00,H001,Utility Room,Washing Machine,0.0
2025-03-01 14:00:00,H001,Kitchen,Microwave,0.0
2025-03-01 15:00:00,H001,Living Room,AC,1.001
2025-03-01 15:00:00,H001,Kitchen,Refrigerator,0.288
2025-03-01 15:00:00,H001,Living Room,TV,0.092
2025-03-01 15:00:00,H001,Bedroom,Lights,0.026
2025-03-01 15:00:00,H001,Bedroom,Fan,0.235
2025-03-01 15:00:00,H001,Utility Room,Washing Machine,0.0
2025-03-01 15:00:00,H001,Kitchen,Microwave,0.0
2025-03-01 16:00:00,H001,Living Room,AC,2.152
2025-03-01 16:00:00,H001,Kitchen,Refrigerator,0.221
2025-03-01 16:00:00,H001,Living Room,TV,0.026
2025-03-01 16:00:00,H001,Bedroom,Lights,0.022
2025-03-01 16:00:00,H001,Bedroom,Fan,0.13
2025-03-01 16:00:00,H001,Utility Room,Washing Machine,0.0
2025-03-01 16:00:00,H001,Kitchen,Microwave,0.0
2025-03-01 17:00:00,H001,Living Room,AC,1.851
2025-03-01 17:00:00,H001,Kitchen,Refrigerator,0.349
2025-03-01 17:00:00,H001,Living Room,TV,0.066
2025-03-01 17:00:00,H001,Bedroom,Lights,0.041
2025-03-01 17:00:00,H001,Bedroom,Fan,0.169
2025-03-01 17:00:00,H001,Utility Room,Washing Machine,0.0
2025-03-01 17:00:00,H001,Kitchen,Microwave,0.0
2025-03-01 18:00:00,H001,Living Room,AC,1.822
2025-03-01 18:00:00,H001,Kitchen,Refrigerator,0.18
2025-03-01 18:00:00,H001,Living Room,TV,0.379
2025-03-01 18:00:00,H001,Bedroom,Lights,0.134
2025-03-01 18:00:00,H001,Bedroom,Fan,0.119
2025-03-01 18:00:00,H001,Utility Room,Washing Machine,0.0
2025-03-01 18:00:00,H001,Kitchen,Microwave,0.0
2025-03-01 19:00:00,H001,Living Room,AC,1.429
2025-03-01 19:00:00,H001,Kitchen,Refrigerator,0.283
2025-03-01 19:00:00,H001,Living Room,TV,0.174
2025-03-01 19:00:00,H001,Bedroom,Lights,0.096
2025-03-01 19:00:00,H001,Bedroom,Fan,0.114
2025-03-01 19:00:00,H001,Utility Room,Washing Machine,0.862
2025-03-01 19:00:00,H001,Kitchen,Microwave,0.877
2025-03-01 20:00:00,H001,Living Room,AC,1.517
2025-03-01 20:00:00,H001,Kitchen,Refrigerator,0.321
2025-03-01 20:00:00,H001,Living Room,TV,0.369
2025-03-01 20:00:00,H001,Bedroom,Lights,0.161
2025-03-01 20:00:00,H001,Bedroom,Fan,0.121
2025-03-01 20:00:00,H001,Utility Room,Washing Machine,0.0
2025-03-01 20:00:00,H001,Kitchen,Microwave,0.0
2025-03-01 21:00:00,H001,Living Room,AC,0.676
